SessionType,ExperimentID,TrialID,ResponseID,ResponseTime,TrialNumber,TrialSubType,Direction,CriterionType,CriterionCount,TrialStartTime,TrialEndTime
test,84,1456,822,8.212826,1,P,LEFT,positive,1.0,2023-10-22 12:35:27.092594,2023-10-22 12:36:38.469121
test,84,1459,823,11.232146,4,N,LEFT,,,2023-10-22 12:38:19.367658,2023-10-22 12:38:39.828845
test,84,1460,824,9.366344,5,P,LEFT,positive,2.0,2023-10-22 12:38:49.195317,2023-10-22 12:39:46.940326
test,84,1461,825,8.924317,6,P,LEFT,positive,3.0,2023-10-22 12:39:55.864674,2023-10-22 12:41:30.654673
test,84,1464,826,8.649548,9,P,LEFT,positive,4.0,2023-10-22 12:43:15.052695,2023-10-22 12:44:19.384874
test,84,1465,827,13.674266,10,N,LEFT,,,2023-10-22 12:44:33.059187,2023-10-22 12:44:48.622427
test,84,1467,828,9.127888,12,P,LEFT,positive,5.0,2023-10-22 12:45:52.188859,2023-10-22 12:47:14.116034
test,84,1469,829,9.584459,14,P,LEFT,positive,6.0,2023-10-22 12:48:47.062104,2023-10-22 12:50:14.504576
test,84,1470,830,15.132832,15,N,LEFT,,,2023-10-22 12:50:29.638010,2023-10-22 12:50:29.638010


/* Purpose:
Retrieve detailed response information for a specific log file
*/

/* SQL Query:
Experiment_2023-10-22T12:32:10.229170_apollo_10_Test TYPE 1.log
*/
