SessionType,ExperimentID,TrialID,ResponseID,ResponseTime,TrialNumber,TrialSubType,Direction,CriterionType,CriterionCount,TrialStartTime,TrialEndTime
test,41,781,495,9.151622,1,P,LEFT,positive,1,2023-10-09 17:50:26.919705,2023-10-09 17:52:29.968279
test,41,783,496,11.543718,3,P,LEFT,positive,2,2023-10-09 17:54:21.266292,2023-10-09 17:55:48.518037
test,41,784,497,11.528231,4,N,LEFT,,0,2023-10-09 17:56:00.046265,2023-10-09 17:56:19.116396
test,41,786,498,9.848299,6,P,LEFT,positive,3,2023-10-09 17:57:55.169267,2023-10-09 17:59:31.704638
test,41,787,499,21.996519,7,N,LEFT,,0,2023-10-09 17:59:53.701160,2023-10-09 18:00:38.920273
test,41,788,500,11.117833,8,P,LEFT,positive,4,2023-10-09 18:00:50.038745,2023-10-09 18:02:25.080445
test,41,789,501,10.262957,9,P,LEFT,positive,5,2023-10-09 18:02:35.342735,2023-10-09 18:03:28.534260
test,41,791,502,12.766254,11,P,LEFT,positive,6,2023-10-09 18:05:11.801773,2023-10-09 18:07:02.642547
test,41,793,503,19.630359,13,N,LEFT,,0,2023-10-09 18:08:45.246303,2023-10-09 18:09:18.531072
test,41,794,504,11.391896,14,P,LEFT,positive,7,2023-10-09 18:09:29.922994,2023-10-09 18:11:17.276917
test,41,796,505,11.423845,16,P,LEFT,positive,8,2023-10-09 18:13:03.342167,2023-10-09 18:14:42.986387
test,41,797,506,10.391335,17,P,LEFT,positive,9,2023-10-09 18:14:53.377774,2023-10-09 18:16:17.926250
test,41,799,507,10.046309,19,P,LEFT,positive,10,2023-10-09 18:18:01.437739,2023-10-09 18:19:42.720723


/* Purpose:
Retrieve detailed response information for a specific log file
*/

/* SQL Query:
Experiment_2023-10-09T17:45:46.540359_apollo_5_Training randomised TYPE 1.log
*/
